age,sex,n
15,Female,3
15,Male,4
15,Female,3
15,Male,6
15,Female,8
15,Male,5
15,Female,10
15,Male,8
15,Female,2
15,Male,5
15,Female,8
15,Male,7
15,Female,6
15,Male,1
15,Female,1
15,Male,8
15,Female,11
15,Male,10
15,Female,2
15,Male,7
16,Female,8
16,Male,7
16,Female,2
16,Male,5
16,Female,5
16,Male,6
16,Female,12
16,Male,13
16,Female,6
16,Male,7
16,Female,5
16,Male,6
16,Female,6
16,Male,5
16,Female,9
16,Male,5
16,Female,15
16,Male,21
16,Female,8
16,Male,3
17,Female,9
17,Male,6
17,Female,9
17,Male,6
17,Female,4
17,Male,8
17,Female,11
17,Male,13
17,Female,7
17,Male,7
17,Female,9
17,Male,6
17,Female,9
17,Male,5
17,Female,3
17,Male,8
17,Female,11
17,Male,8
17,Female,8
17,Male,8
18,Female,7
18,Male,3
18,Female,3
18,Male,9
18,Female,3
18,Male,4
18,Female,8
18,Male,17
18,Female,4
18,Male,3
18,Female,5
18,Male,5
18,Female,10
18,Male,5
18,Female,3
18,Male,6
18,Female,12
18,Male,12
18,Female,7
18,Male,4
19,Female,1
19,Male,4
19,Female,7
19,Male,2
19,Female,6
19,Male,5
19,Female,9
19,Male,6
19,Female,7
19,Male,15
19,Female,5
19,Male,8
19,Female,2
19,Male,4
19,Female,7
19,Male,5
19,Female,15
19,Male,11
19,Female,9
19,Male,10
20,Female,2
20,Male,11
20,Female,8
20,Male,6
20,Female,2
20,Male,10
20,Female,7
20,Male,13
20,Female,3
20,Male,6
20,Female,4
20,Male,6
20,Female,8
20,Male,4
20,Female,6
20,Male,5
20,Female,11
20,Male,13
20,Female,7
20,Male,6
21,Female,3
21,Male,13
21,Female,9
21,Male,4
21,Female,5
21,Male,9
21,Female,14
21,Male,11
21,Female,2
21,Male,9
21,Female,7
21,Male,7
21,Female,4
21,Male,6
21,Female,2
21,Male,3
21,Female,9
21,Male,11
21,Female,12
21,Male,6
22,Female,8
22,Male,7
22,Female,10
22,Male,10
22,Female,5
22,Male,4
22,Female,17
22,Male,18
22,Female,11
22,Male,8
22,Female,9
22,Male,9
22,Female,2
22,Male,11
22,Female,8
22,Male,4
22,Female,14
22,Male,20
22,Female,12
22,Male,5
23,Female,5
23,Male,6
23,Female,6
23,Male,10
23,Female,9
23,Male,3
23,Female,13
23,Male,17
23,Female,10
23,Male,7
23,Female,5
23,Male,6
23,Female,10
23,Male,6
23,Female,8
23,Male,6
23,Female,14
23,Male,12
23,Female,9
23,Male,4
24,Female,5
24,Male,7
24,Female,12
24,Male,7
24,Female,8
24,Male,7
24,Female,24
24,Male,17
24,Female,2
24,Male,5
24,Female,11
24,Male,11
24,Female,6
24,Male,5
24,Female,12
24,Male,6
24,Female,22
24,Male,11
24,Female,9
24,Male,6
25,Female,10
25,Male,9
25,Female,13
25,Male,11
